POLITICS TEST
2017-11-19 14:11:40
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 493,556 | 71 | 1K | 354 | 110K | Nov 1, 2017

2 | 155,352 | 442 | 7K | 426 | 127K | Oct 31, 2017

3 | 133,498 | 2,131 | 4K | 115 | 91K | Oct 31, 2017

4 | 171,656 | 763 | 797 | 443 | 274K | Oct 30, 2017

5 | 97,754 | 45 | 489 | 163 | 152K | Nov 1, 2017

6 | 92,614 | 107 | 1K | 139 | 52K | Nov 2, 2017

7 | 176,641 | 77 | 1K | 199 | 110K | Nov 5, 2017

8 | 62,282 | 1,130 | 2K | 177 | 160K |  on Nov 2, 2017

9 | 63,100 | 164 | 677 | 187 | 12M | Oct 31, 2017

10 | 58,869 | 87 | 2K | 15 | 454K | Oct 30, 2017

11 | 72,433 | 468 | 1K | 55 | 239K | Oct 31, 2017

12 | 83,449 | 68 | 560 | 49 | 197K | Nov 3, 2017

13 | 56,814 | 2 | Try Today | 368 |  | Oct 31, 2017

14 |  No comments available  |
15 | 51,050 | 575 | 2K | 74 | 160K |  on Nov 3, 2017

16 | 35,919 | 949 | 1K | 87 | 160K | Nov 2, 2017

17 | 94,800 | 24 | 255 | 57 |  | Oct 28, 2017

18 | 36,037 | 41 | 74 | 8 | 12K | Nov 1, 2017

19 | 27,529 | 2 | 23 | 16 | 110K | Nov 1, 2017

20 | 65,474 | 573 | 2K | 78 | 160K | Nov 3, 2017

21 | 32,235 | 104 | 662 | 38 | 10K | Nov 1, 2017

22 | 22,242 | 402 | 1K | 10 | 506K | Oct 31, 2017

23 | 23,721 | 184 | 160 | 15 | 29K | Nov 1, 2017

24 | 31,404 | 50 | 98 | 27 | 1M | Nov 2, 2017

25 | 30,171 | 247 | 662 | 106 | 133K | Nov 1, 2017

26 | 20,600 | 22 | 126 | 22 | 51K | Oct 30, 2017

27 | 18,889 | 414 | 790 | 50 | 160K |  on Oct 30, 2017

28 | 20,016 | 25 | 101 | 49 | 110K | Nov 2, 2017

29 | 17,554 | 336 | 871 | 37 | 160K |  on Oct 30, 2017

30 | 20,475 | 290 | 1K | 19 | 160K | Nov 3, 2017

31 | 18,137 | 158 | 122 | 7 | 3.6K | Oct 29, 2017

32 | 20,396 | 251 | 408 | 123 | 133K | Oct 31, 2017

33 |  No comments available  |
34 | 25,334 | 82 | 1K | 103 | 320K | Nov 1, 2017

35 | 18,533 | 191 | 1K | 33 | 576K | Oct 31, 2017

36 | 18,172 | 193 | 819 | 62 | 3.4M | Nov 2, 2017

37 | 16,939 | 212 | 1K | 22 | 160K |  on Nov 2, 2017

38 | 17,893 | 227 | 587 | 71 | 160K | Nov 3, 2017

39 | 16,487 | 25 | 52 | 12 | 443K | Nov 1, 2017

40 | 15,208 | 16 | 293 | 6 | 3.8K |  on Oct 30, 2017

41 | 15,304 | 199 | 665 | 37 | 160K | Nov 2, 2017

42 | 15,241 | 45 | 137 | 20 | 21K | Oct 30, 2017

43 | 27,037 | 227 | 370 | 6 | 17K | Nov 2, 2017

44 | 16,154 | 60 | 73 | 16 | 175K | Nov 1, 2017

45 | 14,093 | 107 | 197 | 21 | 740K | Nov 2, 2017

46 | 25,662 | 48 | 414 | 8 | 25K | Nov 1, 2017

47 | 13,209 | 18 | 32 | 7 | 175K | Oct 31, 2017

48 | 20,617 | 299 | 755 | 22 | 153K | Nov 3, 2017

49 | 12,616 | 2 | 37 | 12 | 20K | Oct 29, 2017

50 | 13,241 | 9 | 58 | 8 | 20K | Oct 30, 2017

51 |  No comments available  |
