POLITICS TEST
2017-11-14 02:01:00
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 463,578 | 68 | 1K | 326 | 108K | Nov 1, 2017

2 | 147,205 | 440 | 6K | 411 | 125K | Oct 31, 2017

3 | 132,720 |  No comments available  |4K | 115 | 88K | Oct 31, 2017

4 | 161,620 | 726 | 774 | 412 | 272K | Oct 30, 2017

5 | 95,260 | 45 | 484 | 159 | 148K | Nov 1, 2017

6 | 85,980 |  No comments available  |1K | 134 | 48K | Nov 2, 2017

7 | 170,039 | 76 | 1K | 191 | 108K | Nov 5, 2017

8 | 62,058 | 1,130 | 2K | 176 | 160K |  on Nov 2, 2017

9 | 61,987 | 161 | 676 | 187 | 12M | Oct 31, 2017

10 | 55,242 | 86 | 2K | 14 | 446K | Oct 30, 2017

11 | 67,845 | 439 | 1K | 54 | 238K | Oct 31, 2017

12 | 80,532 | 65 | 551 | 47 | 191K | Nov 3, 2017

13 | 54,641 | 2 | 355 | 49 | 727K | Oct 31, 2017

14 | 50,125 | 427 | 837 | 163 | 7.4K | Nov 4, 2017

15 | 50,454 | 576 | 1K | 73 | 160K |  on Nov 3, 2017

16 | 35,763 | 947 | 1K | 86 | 160K | Nov 2, 2017

17 | 50,907 | 21 | 144 | 38 |  | Oct 28, 2017

18 | 35,484 | 41 | 74 | 8 | 12K | Nov 1, 2017

19 | 27,525 | 2 | 23 | 16 | 108K | Nov 1, 2017

20 |  No comments available  |
21 | 30,264 | 103 | 641 | 37 | 9.9K | Nov 1, 2017

22 | 22,103 | 415 | 1K | 10 | 505K | Oct 31, 2017

23 | 23,589 | 183 | 160 | 15 | 29K | Nov 1, 2017

24 | 28,505 | 49 | 92 | 23 | 1M | Nov 2, 2017

25 | 28,104 | 231 | 641 | 101 | 131K | Nov 1, 2017

26 | 20,268 | 22 | 123 | 22 | 48K | Oct 30, 2017

27 | 18,867 | 414 | 790 | 50 | 160K |  on Oct 30, 2017

28 | 19,861 | 24 | 101 | 49 | 108K | Nov 2, 2017

29 | 17,530 | 336 | 871 | 37 | 160K |  on Oct 30, 2017

30 | 20,282 | 282 | 1K | 19 | 160K | Nov 3, 2017

31 |  No comments available  |
32 | 19,680 | 243 | 406 | 118 | 131K | Oct 31, 2017

33 | 17,388 | 10 | 272 | 17 | 108K | Nov 3, 2017

34 | 23,374 | 76 | 1K | 97 | 316K | Nov 1, 2017

35 | 18,320 | 191 | 1K | 33 | 570K | Oct 31, 2017

36 | 18,014 | 185 | 807 | 61 | 3.4M | Nov 2, 2017

37 | 16,895 | 210 | 1K | 22 | 160K |  on Nov 2, 2017

38 | 17,807 | 227 | 584 | 71 | 160K | Nov 3, 2017

39 | 16,296 | 25 | 52 | 12 | 437K | Nov 1, 2017

40 | 15,191 | 16 | 294 | 6 | 3.6K |  on Oct 30, 2017

41 | 15,254 | 199 | 664 | 37 | 160K | Nov 2, 2017

42 | 15,065 | 45 | 135 | 20 | 19K | Oct 30, 2017

43 | 26,375 | 227 | 363 | 6 | 16K | Nov 2, 2017

44 | 15,892 | 60 | 73 | 16 | 174K | Nov 1, 2017

45 | 13,995 | 107 | 197 | 21 | 728K | Nov 2, 2017

46 | 21,934 | 48 | 387 | 6 | 25K | Nov 1, 2017

47 | 13,093 | 18 | 31 | 6 | 174K | Oct 31, 2017

48 | 19,372 | 293 | 731 | 21 | 152K | Nov 3, 2017

49 | 12,505 | 2 | 37 | 12 | 18K | Oct 29, 2017

50 | 13,103 | 9 | 56 | 8 | 18K | Oct 30, 2017

51 | 12,892 | 23 | 218 | 9 |  | Oct 29, 2017

