POLITICS TEST
2017-11-16 00:21:29
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 483,187 | 69 | 1K | 344 | 109K | Nov 1, 2017

2 | 151,427 | 440 | 7K | 418 | 126K | Oct 31, 2017

3 | 133,064 | 2,126 | 4K | 115 | 90K | Oct 31, 2017

4 | 164,362 | 742 | 786 | 419 | 273K | Oct 30, 2017

5 | 96,670 | 45 | 487 | 162 | 149K | Nov 1, 2017

6 | 88,478 | 107 | 1K | 135 | 49K | Nov 2, 2017

7 | 173,074 | 76 | 1K | 196 | 109K | Nov 5, 2017

8 | 62,160 | 1,130 | 2K | 177 | 160K |  on Nov 2, 2017

9 | 62,384 | 163 | 676 | 187 | 12M | Oct 31, 2017

10 | 56,377 | 86 | 2K | 14 | 447K | Oct 30, 2017

11 | 69,712 | 448 | 1K | 55 | 238K | Oct 31, 2017

12 | 81,821 | 65 | 557 | 48 | 193K | Nov 3, 2017

13 |  No comments available  |
14 |  No comments available  |
15 | 50,731 | 575 | 1K | 73 | 160K |  on Nov 3, 2017

16 | 35,823 | 947 | 1K | 87 | 160K | Nov 2, 2017

17 |  No comments available  |
18 | 35,555 | 41 | 74 | 8 | 12K | Nov 1, 2017

19 | 27,528 | 2 | 23 | 16 | 109K | Nov 1, 2017

20 | 64,638 | 566 | 2K | 73 | 160K | Nov 3, 2017

21 | 31,138 | 103 | 652 | 37 | 10K | Nov 1, 2017

22 | 22,172 | 415 | 1K | 10 | 506K | Oct 31, 2017

23 | 23,658 | 184 | 160 | 15 | 29K | Nov 1, 2017

24 | 29,258 | 50 | 94 | 24 | 1M | Nov 2, 2017

25 | 29,014 | 234 | 647 | 105 | 132K | Nov 1, 2017

26 | 20,417 | 22 | 124 | 22 | 49K | Oct 30, 2017

27 | 18,879 | 414 | 790 | 50 | 160K |  on Oct 30, 2017

28 | 19,920 | 25 | 101 | 49 | 109K | Nov 2, 2017

29 | 17,541 | 336 | 871 | 37 | 160K |  on Oct 30, 2017

30 | 20,376 | 289 | 1K | 19 | 160K | Nov 3, 2017

31 | 17,876 | 160 | 121 | 7 | 3.5K | Oct 29, 2017

32 | 20,029 | 243 | Sign up | 408 |  | Oct 31, 2017

33 | 17,390 | 10 | 272 | 17 | 109K | Nov 3, 2017

34 |  No comments available  |
35 | 18,416 | 191 | 1K | 33 | 572K | Oct 31, 2017

36 | 18,106 | 185 | 813 | 61 | 3.4M | Nov 2, 2017

37 | 16,915 | 212 | 1K | 22 | 160K |  on Nov 2, 2017

38 | 17,844 | 227 | 585 | 71 | 160K | Nov 3, 2017

39 | 16,379 | 25 | 52 | 12 | 438K | Nov 1, 2017

40 | 15,201 | 16 | It's free! | 293 |  |  on Oct 30, 2017

41 | 15,268 | 199 | 665 | 37 | 160K | Nov 2, 2017

42 | 15,129 | 45 | 136 | 20 | 20K | Oct 30, 2017

43 |  No comments available  |
44 | 15,977 | 60 | 72 | 16 | 174K | Nov 1, 2017

45 | 14,033 | 107 | 197 | 21 | 731K | Nov 2, 2017

46 | 23,487 | 48 | 399 | 6 | 25K | Nov 1, 2017

47 | 13,137 | 18 | 31 | 7 | 174K | Oct 31, 2017

48 | 19,837 | 302 | 740 | 21 | 152K | Nov 3, 2017

49 | 12,536 | 2 | 37 | 12 | 19K | Oct 29, 2017

50 | 13,185 | 9 | 57 | 8 | 19K | Oct 30, 2017

51 | 12,901 | 23 | 218 | 9 |  | Oct 29, 2017

