POLITICS TEST
2017-11-09 03:02:05
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 350,331 | 64 | 1K | 269 | 105K | Nov 1, 2017

2 | 135,117 | 426 | 6K | 393 | 124K | Oct 31, 2017

3 | 131,261 | 2,112 | 4K | 112 | 87K | Oct 31, 2017

4 | 143,856 | 674 | 743 | 377 | 269K | Oct 30, 2017

5 | 88,619 | 42 | 468 | 156 | 143K | Nov 1, 2017

6 | 77,751 | 104 | 1K | 124 | 45K | Nov 2, 2017

7 | 150,997 | 74 | 1K | 175 | 105K | Nov 5, 2017

8 | 61,027 | 1,128 | Hide chat | 2K |  |  on Nov 2, 2017

9 | 60,018 | 161 | 663 | 184 | 12M | Oct 31, 2017

10 | 51,462 | 82 | 1K | 12 | 441K | Oct 30, 2017

11 | 59,232 | 382 | 1K | 46 | 237K | Oct 31, 2017

12 | 74,762 | 63 | 532 | 42 | 186K | Nov 3, 2017

13 | 48,588 | 2 | 320 | 46 | 723K | Oct 31, 2017

14 | 42,169 | 282 | 739 | 155 | 7.1K | Nov 4, 2017

15 | 46,987 | 572 | Hide chat | 1K |  |  on Nov 3, 2017

16 | 35,334 | 947 | 1K | 86 | 160K | Nov 2, 2017

17 | 42,188 | 18 | 122 | 31 | 25K | Oct 28, 2017

18 | 35,086 | 41 | 74 | 8 | 12K | Nov 1, 2017

19 | 27,525 | 2 | 23 | 16 | 105K | Nov 1, 2017

20 | 58,531 | 525 | 2K | 70 | 160K | Nov 3, 2017

21 | 26,506 | 101 | 606 | 34 | 9.6K | Nov 1, 2017

22 | 21,805 | 414 | 1K | 10 | 505K | Oct 31, 2017

23 |  No comments available  |
24 | 26,208 | 47 | 84 | 19 | 1M | Nov 2, 2017

25 |  No comments available  |
26 | 19,901 | 22 | 123 | 21 | 46K | Oct 30, 2017

27 | 18,678 | 415 | Hide chat | 791 |  |  on Oct 30, 2017

28 |  No comments available  |
29 |  No comments available  |
30 | 19,462 | 280 | 1K | 19 | 160K | Nov 3, 2017

31 | 17,380 | 155 | 115 | 7 | 3.5K | Oct 29, 2017

32 | 18,587 | 240 | 391 | 111 | 130K | Oct 31, 2017

33 | 17,368 | 10 | 273 | 17 | 105K | Nov 3, 2017

34 | 20,082 | 74 | 1K | 94 | 314K | Nov 1, 2017

35 | 17,600 | 192 | 1K | 33 | 562K | Oct 31, 2017

36 | 17,475 | 199 | 782 | 61 | 3.4M | Nov 2, 2017

37 | 16,654 | 209 | Hide chat | 995 |  |  on Nov 2, 2017

38 | 17,391 | 225 | 571 | 71 | 160K | Nov 3, 2017

39 | 15,917 | 25 | 51 | 11 | 435K | Nov 1, 2017

40 | 14,906 | 16 | Hide chat | 288 |  |  on Oct 30, 2017

41 | 15,048 | 198 | 662 | 37 | 160K | Nov 2, 2017

42 | 14,843 | 45 | 131 | 20 | 18K | Oct 30, 2017

43 | 23,404 | 226 | 346 | 6 | 16K | Nov 2, 2017

44 | 14,993 | 59 | 70 | 16 | 172K | Nov 1, 2017

45 |  No comments available  |
46 | 17,963 | 47 | 347 | 6 | 24K | Nov 1, 2017

47 | 12,906 | 18 | 31 | 6 | 172K | Oct 31, 2017

48 | 16,631 | 245 | 682 | 18 | 151K | Nov 3, 2017

49 | 12,370 | 2 | 38 | 12 | 17K | Oct 29, 2017

50 | 12,431 | 9 | 53 | 8 | 17K | Oct 30, 2017

51 | 12,133 | 22 | 201 | 8 | 25K | Oct 29, 2017

