POLITICS TEST
2017-11-20 02:13:26
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 494,232 | 71 | 1K | 354 | 110K | Nov 1, 2017

2 | 155,613 | 442 | 7K | 426 | 127K | Oct 31, 2017

3 | 133,584 | 2,132 | 4K | 115 | 91K | Oct 31, 2017

4 | 172,361 | 765 | 798 | 444 | 274K | Oct 30, 2017

5 | 97,831 | 45 | Try Today | 489 |  | Nov 1, 2017

6 | 93,082 | 107 | 1K | 139 | 52K | Nov 2, 2017

7 | 176,886 | 77 | 1K | 199 | 110K | Nov 5, 2017

8 | 62,301 | 1,130 | 2K | 177 | 160K |  on Nov 2, 2017

9 | 63,218 | 164 | 677 | 187 | 12M | Oct 31, 2017

10 | 59,277 | 87 | 2K | 15 | 454K | Oct 30, 2017

11 | 72,719 | 468 | 1K | 55 | 239K | Oct 31, 2017

12 | 83,572 | 69 | 560 | 49 | 197K | Nov 3, 2017

13 | 56,981 | 2 | 369 | 50 | 731K | Oct 31, 2017

14 |  No comments available  |
15 | 51,088 | 575 | 2K | 74 | 160K |  on Nov 3, 2017

16 | 35,936 | 948 | 1K | 87 | 160K | Nov 2, 2017

17 | 97,334 | 24 | 257 | 57 |  | Oct 28, 2017

18 | 36,052 | 41 | 74 | 8 | 12K | Nov 1, 2017

19 | 27,529 | 2 | 23 | 16 | 110K | Nov 1, 2017

20 | 65,560 | 573 | 2K | 78 | 160K | Nov 3, 2017

21 | 32,318 | 104 | 663 | 38 | 10K | Nov 1, 2017

22 | 22,249 | 402 | 1K | 10 | 506K | Oct 31, 2017

23 | 23,726 | 184 | 160 | 15 | 29K | Nov 1, 2017

24 | 31,593 | 50 | 99 | 27 | 1M | Nov 2, 2017

25 | 30,334 | 247 | 664 | 106 | 133K | Nov 1, 2017

26 | 20,629 | 22 | 127 | 22 | 51K | Oct 30, 2017

27 | 18,890 | 414 | 790 | 50 | 160K |  on Oct 30, 2017

28 | 20,035 | 25 | 101 | 49 | 110K | Nov 2, 2017

29 |  No comments available  |
30 | 20,485 | 290 | 1K | 19 | 160K | Nov 3, 2017

31 | 18,182 | 158 | 122 | 7 | 3.6K | Oct 29, 2017

32 | 20,432 | 273 | 409 | 123 | 133K | Oct 31, 2017

33 | 17,394 | 10 | 271 | 17 | 110K | Nov 3, 2017

34 | 25,449 | 82 | 1K | 103 | 320K | Nov 1, 2017

35 | 18,569 | 192 | 1K | 33 | 577K | Oct 31, 2017

36 | 18,180 | 193 | 819 | 62 | 3.4M | Nov 2, 2017

37 |  No comments available  |
38 | 17,898 | 227 | 588 | 71 | 160K | Nov 3, 2017

39 | 16,501 | 25 | 52 | 12 | 443K | Nov 1, 2017

40 | 15,210 | 16 | 293 | 6 | 3.8K |  on Oct 30, 2017

41 | 15,307 | 199 | 665 | 37 | 160K | Nov 2, 2017

42 | 15,252 | 45 | 137 | 20 | 21K | Oct 30, 2017

43 | 27,064 | 227 | 370 | 6 | 17K | Nov 2, 2017

44 | 16,178 | 60 | 73 | 16 | 176K | Nov 1, 2017

45 | 14,107 | 107 | 198 | 21 | 740K | Nov 2, 2017

46 |  No comments available  |
47 | 13,222 | 18 | 32 | 7 | 176K | Oct 31, 2017

48 | 20,720 | 301 | 758 | 22 | 153K | Nov 3, 2017

49 | 12,624 | 2 | 37 | 12 | 20K | Oct 29, 2017

50 | 13,245 | 9 | 58 | 8 | 20K | Oct 30, 2017

51 | 12,932 | 23 | 219 | 9 |  | Oct 29, 2017

