POLITICS TEST
2017-11-14 19:15:42
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 475,161 | 68 | 1K | 335 | 109K | Nov 1, 2017

2 | 148,265 | 440 | 7K | 411 | 125K | Oct 31, 2017

3 | 132,861 | 2,126 | 4K | 115 | 89K | Oct 31, 2017

4 | 162,398 | 736 | 781 | 413 | 272K | Oct 30, 2017

5 | 95,862 | 45 | 485 | 160 | 148K | Nov 1, 2017

6 | 86,915 | 107 | 1K | 134 | 48K | Nov 2, 2017

7 | 171,444 | 75 | 1K | 193 | 109K | Nov 5, 2017

8 |  No comments available  |
9 | 62,115 | 161 | 676 | 187 | 12M | Oct 31, 2017

10 | 55,578 | 86 | 2K | 14 | 446K | Oct 30, 2017

11 | 68,641 | 443 | 1K | 54 | 238K | Oct 31, 2017

12 |  No comments available  |
13 | 55,125 | 2 | 357 | 49 | 727K | Oct 31, 2017

14 | 52,865 | 442 | 878 | 165 | 7.5K | Nov 4, 2017

15 | 50,617 | 575 | 1K | 73 | 160K |  on Nov 3, 2017

16 | 35,781 | 947 | 1K | 86 | 160K | Nov 2, 2017

17 | 52,942 | 21 | 154 | 39 |  | Oct 28, 2017

18 | 35,519 | 41 | 74 | 8 | 12K | Nov 1, 2017

19 | 27,525 | 2 | 23 | 16 | 109K | Nov 1, 2017

20 | 64,242 | 564 | 2K | 73 | 160K | Nov 3, 2017

21 |  No comments available  |
22 | 22,143 | 415 | 1K | 10 | 505K | Oct 31, 2017

23 | 23,600 | 184 | 160 | 15 | 29K | Nov 1, 2017

24 | 28,811 | 49 | 93 | 23 | 1M | Nov 2, 2017

25 | 28,468 | 231 | 643 | 103 | 132K | Nov 1, 2017

26 | 20,330 | 22 | 124 | 22 | 49K | Oct 30, 2017

27 | 18,872 | 414 | 790 | 50 | 160K |  on Oct 30, 2017

28 | 19,886 | 25 | 101 | 49 | 109K | Nov 2, 2017

29 | 17,532 | 336 | 871 | 37 | 160K |  on Oct 30, 2017

30 | 20,315 | 283 | 1K | 19 | 160K | Nov 3, 2017

31 | 17,794 | 159 | 120 | 7 | 3.5K | Oct 29, 2017

32 | 19,881 | 243 | 408 | 118 | 132K | Oct 31, 2017

33 | 17,389 | 10 | 272 | 17 | 109K | Nov 3, 2017

34 |  No comments available  |
35 | 18,354 | 191 | 1K | 33 | 571K | Oct 31, 2017

36 | 18,049 | 185 | 811 | 61 | 3.4M | Nov 2, 2017

37 | 16,904 | 210 | 1K | 22 | 160K |  on Nov 2, 2017

38 | 17,821 | 227 | 584 | 71 | 160K | Nov 3, 2017

39 | 16,323 | 25 | 52 | 12 | 438K | Nov 1, 2017

40 | 15,197 | 16 | 294 | 6 | 3.7K |  on Oct 30, 2017

41 | 15,260 | 199 | 665 | 37 | 160K | Nov 2, 2017

42 | 15,073 | 45 | 136 | 20 | 19K | Oct 30, 2017

43 | 26,559 | 227 | 367 | 6 | 16K | Nov 2, 2017

44 | 15,931 | 60 | 73 | 16 | 174K | Nov 1, 2017

45 | 14,011 | 107 | 197 | 21 | 729K | Nov 2, 2017

46 | 22,620 | 48 | 393 | 6 | 25K | Nov 1, 2017

47 |  No comments available  |
48 | 19,559 | 299 | 736 | 21 | 152K | Nov 3, 2017

49 | 12,516 | 2 | 37 | 12 | 19K | Oct 29, 2017

50 | 13,148 | 9 | 57 | 8 | 19K | Oct 30, 2017

51 | 12,899 | 23 | 218 | 9 |  | Oct 29, 2017

