POLITICS TEST
2017-11-11 23:03:17
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 412,501 | 66 | 1K | 296 | 107K | Nov 1, 2017

2 |  No comments available  |
3 | 132,461 | 2,119 | 4K | 114 | 88K | Oct 31, 2017

4 | 157,865 | 717 | 764 | 404 | 271K | Oct 30, 2017

5 | 92,799 | 45 | 478 | 158 | 146K | Nov 1, 2017

6 | 83,363 | 105 | 1K | 133 | 46K | Nov 2, 2017

7 | 165,564 | 76 | 1K | 185 | 107K | Nov 5, 2017

8 | 61,877 | 1,130 | 2K | 176 | 160K |  on Nov 2, 2017

9 | 61,142 | 161 | 672 | 186 | 12M | Oct 31, 2017

10 | 53,741 | 83 | 2K | 13 | 444K | Oct 30, 2017

11 | 65,254 | 409 | 1K | 54 | 237K | Oct 31, 2017

12 | 79,050 | 65 | 546 | 46 | 189K | Nov 3, 2017

13 | 52,695 | 2 | 341 | 49 | 725K | Oct 31, 2017

14 | 46,484 | 298 | 783 | 157 | 7.3K | Nov 4, 2017

15 | 49,501 | 579 | 1K | 70 | 160K |  on Nov 3, 2017

16 | 35,633 | 947 | 1K | 86 | 160K | Nov 2, 2017

17 | 47,963 | 20 | 140 | 34 | 25K | Oct 28, 2017

18 | 35,366 | 41 | 74 | 8 | 12K | Nov 1, 2017

19 | 27,525 | 2 | 23 | 16 | 107K | Nov 1, 2017

20 | 62,480 | 557 | 2K | 71 | 160K | Nov 3, 2017

21 | 29,635 | 102 | 634 | 37 | 9.7K | Nov 1, 2017

22 | 22,037 | 415 | 1K | 10 | 505K | Oct 31, 2017

23 | 23,499 | 183 | 160 | 15 | 29K | Nov 1, 2017

24 | 27,804 | 48 | 90 | 23 | 1M | Nov 2, 2017

25 | 27,147 | 227 | 626 | 97 | 131K | Nov 1, 2017

26 | 20,130 | 22 | 123 | 22 | 48K | Oct 30, 2017

27 | 18,845 | 414 | 790 | 50 | 160K |  on Oct 30, 2017

28 |  No comments available  |
29 | 17,491 | 336 | 870 | 37 | 160K |  on Oct 30, 2017

30 | 20,081 | 281 | 1K | 19 | 160K | Nov 3, 2017

31 | 17,602 | 155 | 115 | 7 | 3.5K | Oct 29, 2017

32 | 19,181 | 242 | 401 | 117 | 131K | Oct 31, 2017

33 | 17,379 | 10 | 272 | 17 | 107K | Nov 3, 2017

34 | 22,168 | 74 | 1K | 97 | 315K | Nov 1, 2017

35 | 18,079 | 192 | 1K | 33 | 566K | Oct 31, 2017

36 | 17,911 | 199 | 795 | 61 | 3.4M | Nov 2, 2017

37 | 16,859 | 210 | 1K | 22 | 160K |  on Nov 2, 2017

38 |  No comments available  |
39 | 16,183 | 25 | Try Today | 52 |  | Nov 1, 2017

40 | 15,106 | 16 | 291 | 6 | 3.5K |  on Oct 30, 2017

41 | 15,228 | 198 | 663 | 37 | 160K | Nov 2, 2017

42 | 14,985 | 45 | 133 | 20 | 19K | Oct 30, 2017

43 | 25,925 | 227 | 360 | 6 | 16K | Nov 2, 2017

44 | 15,682 | 59 | 73 | 16 | 173K | Nov 1, 2017

45 | 13,936 | 107 | 198 | 21 | 725K | Nov 2, 2017

46 | 20,238 | 47 | 373 | 6 | 25K | Nov 1, 2017

47 | 13,029 | 18 | 31 | 6 | 173K | Oct 31, 2017

48 |  No comments available  |
49 | 12,458 | 2 | 38 | 12 | 17K | Oct 29, 2017

50 | 12,950 | 9 | 56 | 8 | 17K | Oct 30, 2017

51 | 12,644 | 23 | 214 | 9 | 25K | Oct 29, 2017

