POLITICS TEST
2017-11-10 03:12:54
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 364,517 | 64 | 1K | 277 | 106K | Nov 1, 2017

2 | 139,500 | 434 | 6K | 396 | 124K | Oct 31, 2017

3 | 131,933 | 2,118 | 4K | 113 | 87K | Oct 31, 2017

4 | 151,022 | 692 | 753 | 392 | 270K | Oct 30, 2017

5 | 89,924 | 42 | 471 | 156 | 144K | Nov 1, 2017

6 | 79,936 | 105 | 1K | 128 | 45K | Nov 2, 2017

7 | 157,565 | 74 | 1K | 181 | 106K | Nov 5, 2017

8 | 61,714 | 1,127 | Hide chat | 2K |  |  on Nov 2, 2017

9 | 60,479 | 160 | 664 | 185 | 12M | Oct 31, 2017

10 | 52,194 | 83 | 1K | 12 | 442K | Oct 30, 2017

11 | 60,943 | 390 | 1K | 47 | 237K | Oct 31, 2017

12 | 76,686 | 65 | 543 | 45 | 187K | Nov 3, 2017

13 | 50,144 | 2 | 330 | 48 | 724K | Oct 31, 2017

14 | 43,378 | 294 | 760 | 155 | 7.2K | Nov 4, 2017

15 | 48,202 | 572 | Hide chat | 1K |  |  on Nov 3, 2017

16 | 35,525 | 947 | 1K | 86 | 160K | Nov 2, 2017

17 | 43,538 | 19 | 125 | 33 | 25K | Oct 28, 2017

18 | 35,214 | 41 | 74 | 8 | 12K | Nov 1, 2017

19 | 27,522 | 2 | 23 | 16 | 106K | Nov 1, 2017

20 | 60,762 | 543 | 2K | 71 | 160K | Nov 3, 2017

21 | 27,885 | 102 | 627 | 36 | 9.7K | Nov 1, 2017

22 | 21,961 | 415 | 1K | 10 | 505K | Oct 31, 2017

23 | 23,420 | 183 | 161 | 14 | 29K | Nov 1, 2017

24 | 26,776 | 48 | 85 | 21 | 1M | Nov 2, 2017

25 | 25,754 | 221 | 601 | 92 | 130K | Nov 1, 2017

26 | 19,994 | 22 | 123 | 21 | 47K | Oct 30, 2017

27 | 18,830 | 414 | Hide chat | 791 |  |  on Oct 30, 2017

28 | 19,720 | 24 | 101 | 49 | 106K | Nov 2, 2017

29 | 17,450 | 336 | Hide chat | 870 |  |  on Oct 30, 2017

30 | 19,786 | 281 | 1K | 19 | 160K | Nov 3, 2017

31 | 17,465 | 155 | 115 | 7 | 3.5K | Oct 29, 2017

32 |  No comments available  |
33 | 17,371 | 10 | 273 | 17 | 106K | Nov 3, 2017

34 | 20,843 | 74 | 1K | 94 | 315K | Nov 1, 2017

35 | 17,763 | 192 | 1K | 33 | 563K | Oct 31, 2017

36 | 17,701 | 199 | 787 | 61 | 3.4M | Nov 2, 2017

37 | 16,803 | 209 | Hide chat | 996 |  |  on Nov 2, 2017

38 | 17,510 | 225 | 576 | 71 | 160K | Nov 3, 2017

39 | 16,021 | 25 | 52 | 11 | 435K | Nov 1, 2017

40 | 14,971 | 16 | Hide chat | 289 |  |  on Oct 30, 2017

41 | 15,164 | 198 | 664 | 37 | 160K | Nov 2, 2017

42 | 14,877 | 45 | 131 | 20 | 18K | Oct 30, 2017

43 | 24,835 | 226 | 353 | 6 | 16K | Nov 2, 2017

44 | 15,147 | 59 | It's free! | 71 |  | Nov 1, 2017

45 | 13,829 | 107 | 198 | 21 | 722K | Nov 2, 2017

46 | 18,868 | 47 | 358 | 6 | 24K | Nov 1, 2017

47 | 12,957 | 18 | 31 | 6 | 172K | Oct 31, 2017

48 | 17,314 | 247 | 704 | 19 | 151K | Nov 3, 2017

49 | 12,402 | 2 | 38 | 12 | 17K | Oct 29, 2017

50 | 12,574 | 9 | 54 | 8 | 17K | Oct 30, 2017

51 | 12,253 | 22 | 205 | 9 | 25K | Oct 29, 2017

