POLITICS TEST
2017-11-08 11:52:50
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 344,381 | 64 | 1K | 267 | 105K | Nov 1, 2017

2 | 134,380 | 426 | 6K | 391 | 124K | Oct 31, 2017

3 |  No comments available  |
4 | 135,079 | 641 | 731 | 355 | 269K | Oct 30, 2017

5 | 87,708 | 42 | 466 | 156 | 143K | Nov 1, 2017

6 | 76,212 | 103 | 1K | 123 | 44K | Nov 2, 2017

7 | 147,028 | 73 | 1K | 173 | 105K | Nov 5, 2017

8 | 60,912 | 1,129 | Hide chat | 2K |  |  on Nov 2, 2017

9 | 59,631 | 161 | 659 | 182 | 12M | Oct 31, 2017

10 | 50,733 | 81 | 1K | 12 | 441K | Oct 30, 2017

11 | 58,204 | 380 | 1K | 46 | 237K | Oct 31, 2017

12 | 73,175 | 63 | 531 | 42 | 186K | Nov 3, 2017

13 |  No comments available  |
14 | 41,630 | 282 | 727 | 155 | 7.1K | Nov 4, 2017

15 | 44,292 | 563 | Hide chat | 1K |  |  on Nov 3, 2017

16 | 35,252 | 944 | 1K | 86 | 160K | Nov 2, 2017

17 | 40,263 | 18 | 121 | 29 | 25K | Oct 28, 2017

18 | 34,967 | 41 | 74 | 8 | 12K | Nov 1, 2017

19 | 27,523 | 2 | 23 | 16 | 105K | Nov 1, 2017

20 | 54,553 | 506 | 2K | 66 | 160K | Nov 3, 2017

21 | 25,542 | 101 | 588 | 32 | 9.6K | Nov 1, 2017

22 | 21,722 | 414 | 1K | 10 | 505K | Oct 31, 2017

23 | 23,012 | 181 | It's free! | 160 |  | Nov 1, 2017

24 | 25,541 | 47 | 82 | 19 | 1M | Nov 2, 2017

25 | 23,937 | 206 | Sign up | 573 |  | Nov 1, 2017

26 | 19,821 | 22 | 123 | 21 | 46K | Oct 30, 2017

27 | 18,668 | 415 | Hide chat | 791 |  |  on Oct 30, 2017

28 | 19,598 | 24 | 101 | 49 | 105K | Nov 2, 2017

29 | 17,289 | 335 | Hide chat | 868 |  |  on Oct 30, 2017

30 |  No comments available  |
31 | 17,320 | 155 | 115 | 7 | 3.5K | Oct 29, 2017

32 | 18,381 | 241 | 392 | 110 | 130K | Oct 31, 2017

33 |  No comments available  |
34 | 19,652 | 74 | 1K | 94 | 314K | Nov 1, 2017

35 | 17,488 | 192 | 1K | 33 | 561K | Oct 31, 2017

36 | 17,379 | 198 | 776 | 61 | 3.4M | Nov 2, 2017

37 | 16,595 | 208 | Hide chat | 994 |  |  on Nov 2, 2017

38 | 17,286 | 225 | 570 | 71 | 160K | Nov 3, 2017

39 | 15,809 | 25 | 51 | 11 | 434K | Nov 1, 2017

40 | 14,855 | 16 | Hide chat | 288 |  |  on Oct 30, 2017

41 | 14,995 | 197 | 662 | 37 | 160K | Nov 2, 2017

42 | 14,792 | 45 | 131 | 20 | 17K | Oct 30, 2017

43 |  No comments available  |
44 | 14,878 | 57 | Sign up | 70 |  | Nov 1, 2017

45 | 13,694 | 107 | 198 | 21 | 720K | Nov 2, 2017

46 | 17,184 | 47 | 337 | 6 | 24K | Nov 1, 2017

47 | 12,879 | 18 | 31 | 6 | 172K | Oct 31, 2017

48 | 15,898 | 244 | 672 | 18 | 151K | Nov 3, 2017

49 | 12,349 |  No comments available  |38 | 12 | 17K | Oct 29, 2017

50 | 12,319 | 9 | 53 | 8 | 17K | Oct 30, 2017

51 | 11,931 | 22 | 199 | 8 | 25K | Oct 29, 2017

