POLITICS TEST
2017-11-12 14:08:50
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 429,532 | 66 | 1K | 310 | 108K | Nov 1, 2017

2 | 144,180 | 437 | 6K | 405 | 125K | Oct 31, 2017

3 | 132,497 | 2,119 | 4K | 114 | 88K | Oct 31, 2017

4 | 158,897 | 718 | 768 | 407 | 271K | Oct 30, 2017

5 | 93,865 | 45 | 481 | 159 | 147K | Nov 1, 2017

6 | 84,136 | 106 | 1K | 133 | 47K | Nov 2, 2017

7 | 167,889 | 76 | 1K | 189 | 108K | Nov 5, 2017

8 |  No comments available  |
9 | 61,430 | 161 | 673 | 187 | 12M | Oct 31, 2017

10 | 54,051 | 83 | 2K | 14 | 445K | Oct 30, 2017

11 |  No comments available  |
12 |  No comments available  |
13 | 53,385 | 2 | 350 | 49 | 726K | Oct 31, 2017

14 | 47,212 | 363 | 796 | 163 | 7.3K | Nov 4, 2017

15 |  No comments available  |
16 | 35,670 | 947 | 1K | 86 | 160K | Nov 2, 2017

17 | 48,627 | 20 | 142 | 34 |  | Oct 28, 2017

18 | 35,403 | 41 | 74 | 8 | 12K | Nov 1, 2017

19 | 27,525 | 2 | 23 | 16 | 108K | Nov 1, 2017

20 | 62,980 | 560 | 2K | 71 | 160K | Nov 3, 2017

21 | 29,693 | 102 | 634 | 37 | 9.8K | Nov 1, 2017

22 | 22,055 | 415 | 1K | 10 | 505K | Oct 31, 2017

23 | 23,530 | 183 | 160 | 15 | 29K | Nov 1, 2017

24 | 28,035 | 48 | 90 | 23 | 1M | Nov 2, 2017

25 | 27,431 | 227 | 631 | 99 | 131K | Nov 1, 2017

26 | 20,185 | 22 | 123 | 22 | 48K | Oct 30, 2017

27 | 18,849 | 414 | 790 | 50 | 160K |  on Oct 30, 2017

28 | 19,818 | 24 | 101 | 49 | 108K | Nov 2, 2017

29 | 17,512 | 336 | 871 | 37 | 160K |  on Oct 30, 2017

30 | 20,134 | 281 | 1K | 19 | 160K | Nov 3, 2017

31 | 17,641 | 155 | 116 | 7 | 3.5K | Oct 29, 2017

32 | 19,248 | 242 | 401 | 117 | 131K | Oct 31, 2017

33 | 17,381 | 10 | 272 | 17 | 108K | Nov 3, 2017

34 | 22,519 | 75 | 1K | 97 | 315K | Nov 1, 2017

35 | 18,135 | 192 | 1K | 33 | 567K | Oct 31, 2017

36 | 17,937 | 199 | 800 | 61 | 3.4M | Nov 2, 2017

37 | 16,868 | 210 | 1K | 22 | 160K |  on Nov 2, 2017

38 | 17,733 | 226 | 580 | 71 | 160K | Nov 3, 2017

39 | 16,214 | 25 | Donate Now | 52 |  | Nov 1, 2017

40 | 15,161 | 16 | 294 | 6 | 3.6K |  on Oct 30, 2017

41 | 15,232 | 199 | 663 | 37 | 160K | Nov 2, 2017

42 | 15,007 | 45 | 134 | 20 | 19K | Oct 30, 2017

43 | 26,048 | 227 | 360 | 6 | 16K | Nov 2, 2017

44 | 15,746 | 59 | 73 | 16 | 173K | Nov 1, 2017

45 | 13,955 | 107 | Sign up | 197 |  | Nov 2, 2017

46 | 20,511 | 47 | 377 | 6 | 25K | Nov 1, 2017

47 | 13,050 | 18 | 31 | 6 | 173K | Oct 31, 2017

48 | 18,712 | 289 | 722 | 21 | 152K | Nov 3, 2017

49 | 12,473 | 2 | 37 | 12 | 18K | Oct 29, 2017

50 | 12,998 | 9 | 56 | 8 | 18K | Oct 30, 2017

51 | 12,740 | 23 | 215 | 9 |  | Oct 29, 2017

