POLITICS TEST
2017-11-11 01:44:52
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 384,615 | 65 | 1K | 287 | 106K | Nov 1, 2017

2 | 141,187 | 435 | 6K | 397 | 125K | Oct 31, 2017

3 | 132,324 | 2,123 | 4K | 114 | 88K | Oct 31, 2017

4 | 155,373 | 706 | 760 | 401 | 270K | Oct 30, 2017

5 |  No comments available  |
6 | 81,593 | 105 | 1K | 131 | 46K | Nov 2, 2017

7 |  No comments available  |
8 | 61,810 | 1,128 | 2K | 176 | 160K |  on Nov 2, 2017

9 | 60,831 | 160 | 666 | 185 | 12M | Oct 31, 2017

10 | 52,994 | 83 | 1K | 12 | 443K | Oct 30, 2017

11 | 62,715 | 397 | 1K | 51 | 237K | Oct 31, 2017

12 | 78,012 | 65 | 544 | 46 | 188K | Nov 3, 2017

13 | 51,537 | 2 | 339 | 48 | 725K | Oct 31, 2017

14 | 44,859 | 295 | 771 | 155 | 7.2K | Nov 4, 2017

15 | 48,941 | 575 | 1K | 70 | 160K |  on Nov 3, 2017

16 |  No comments available  |
17 | 45,320 | 19 | 132 | 34 | 25K | Oct 28, 2017

18 | 35,302 | 41 | 74 | 8 | 12K | Nov 1, 2017

19 | 27,522 | 2 | 23 | 16 | 106K | Nov 1, 2017

20 | 61,666 | 551 | 2K | 71 | 160K | Nov 3, 2017

21 | 29,417 | 102 | 633 | 37 | 9.7K | Nov 1, 2017

22 | 22,004 | 415 | 1K | 10 | 505K | Oct 31, 2017

23 | 23,460 | 183 | 160 | 15 | 29K | Nov 1, 2017

24 | 27,257 | 48 | 88 | 23 | 1M | Nov 2, 2017

25 | 26,616 | 226 | Sign up | 621 |  | Nov 1, 2017

26 | 20,057 | 22 | 123 | 21 | 47K | Oct 30, 2017

27 | 18,837 | 414 | 791 | 50 | 160K |  on Oct 30, 2017

28 | 19,756 | 24 | 101 | 49 | 106K | Nov 2, 2017

29 | 17,470 | 336 | 870 | 37 | 160K |  on Oct 30, 2017

30 | 19,946 | 281 | 1K | 19 | 160K | Nov 3, 2017

31 | 17,549 | 155 | 115 | 7 | 3.5K | Oct 29, 2017

32 | 19,054 | 242 | 401 | 116 | 131K | Oct 31, 2017

33 | 17,375 | 10 | 273 | 17 | 106K | Nov 3, 2017

34 |  No comments available  |
35 | 17,919 | 192 | 1K | 33 | 564K | Oct 31, 2017

36 | 17,833 | 199 | 795 | 61 | 3.4M | Nov 2, 2017

37 |  No comments available  |
38 | 17,640 | 225 | 578 | 71 | 160K | Nov 3, 2017

39 | 16,114 | 25 | 52 | 11 | 436K | Nov 1, 2017

40 | 15,031 | 16 | 290 | 5 | 3.4K |  on Oct 30, 2017

41 | 15,200 | 198 | 664 | 37 | 160K | Nov 2, 2017

42 | 14,923 | 45 | Adopt Now | 131 |  | Oct 30, 2017

43 | 25,607 | 227 | 359 | 6 | 16K | Nov 2, 2017

44 | 15,508 | 59 | 73 | 16 | 172K | Nov 1, 2017

45 | 13,896 | 107 | Sign up | 198 |  | Nov 2, 2017

46 | 19,557 | 47 | 362 | 6 | 24K | Nov 1, 2017

47 | 12,992 | 18 | 31 | 6 | 172K | Oct 31, 2017

48 | 17,911 | 264 | 712 | 20 | 152K | Nov 3, 2017

49 | 12,429 | 2 | 38 | 12 | 17K | Oct 29, 2017

50 | 12,780 | 9 | 55 | 8 | 17K | Oct 30, 2017

51 | 12,369 | 22 | 209 | 9 | 25K | Oct 29, 2017

