TECHNOLOGY TEST
2017-11-14 02:20:31
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 620,755 | 1,213 | 4K | 495 | 26K | Nov 2, 2017

2 | 397,099 | 1,157 | 5K | 1K | 49K | Nov 2, 2017

3 | 149,732 | 203 | 3K | 392 | 395K | Nov 1, 2017

4 | 160,867 | 362 | 7K | 116 | 2.8M | Nov 4, 2017

5 | 184,938 | 64 | 840 | 115 |  | Nov 1, 2017

6 | 79,807 | 357 | 6K | 27 | 2M | Nov 3, 2017

7 | 71,473 | 935 | 1K | 26 | 450K | Nov 2, 2017

8 | 65,457 | 174 | 1K | 324 | 395K | Oct 28, 2017

9 | 93,278 | 72 | 867 | 54 | 42K | Oct 29, 2017

10 |  No comments available  |
11 | 41,657 | 1,088 | 1K | 113 | 59K | Oct 29, 2017

12 | 36,651 | 14 | 116 | 5 | 4 | Oct 31, 2017

13 | 38,708 | 166 | 1K | 39 | 689K |  on Oct 31, 2017

14 | 42,288 | 168 | 595 | 54 | 62K | Oct 29, 2017

15 | 40,037 | 58 | 688 | 34 | 361K | Oct 31, 2017

16 | 34,631 | 7 | 208 | 11 | 94K | Nov 1, 2017

17 | 53,044 | 120 | 690 | 103 | 80K | Nov 2, 2017

18 | 51,662 | 719 | 2K | 78 | 108K | Nov 1, 2017

19 | 32,117 | 0 | 349 | 28 | 25K | Oct 30, 2017

20 | 37,863 | 2 | 130 | 22 |  | Oct 30, 2017

21 | 40,508 | 116 | 1K | 70 | 356K | Nov 1, 2017

22 | 32,606 | 43 | 168 | 25 | 34K | Nov 2, 2017

23 | 44,299 | 54 | 1K | 23 | 356K | Oct 31, 2017

24 | 24,875 | 25 | 196 | 32 | 25K | Oct 29, 2017

25 | 23,331 | 32 | It's free! | 481 |  | Oct 29, 2017

26 | 63,032 | 13 | 127 | 1 | 117K | Nov 1, 2017

27 | 21,467 | 135 | 1K | 38 | 151K | Nov 1, 2017

28 | 22,652 |  No comments available  |1K | 115 | 395K | Nov 4, 2017

29 |  No comments available  |
30 | 53,581 | 50 | 207 | 18 | 57K | Nov 3, 2017

31 | 19,349 | 6 | 68 | 21 | 230K | Nov 1, 2017

32 | 39,286 | 34 | 139 | 52 | 140K | Nov 4, 2017

33 | 18,019 | 32 | 363 | 29 | 80K | Oct 30, 2017

34 | 31,913 | 4 | 102 | 16 |  | Nov 4, 2017

35 | 16,203 | 66 | 172 | 27 | 543K | Oct 30, 2017

36 | 16,302 | 466 | 745 | 30 | 59K | Oct 31, 2017

37 | 19,579 |  No comments available  |1K | 33 | 8.6K | Oct 29, 2017

38 | 59,466 |  No comments available  |449 | 78 |  |  on Nov 3, 2017

39 | 16,680 | 0 | 467 | 22 | 25K | Oct 30, 2017

40 | 14,347 | 52 | 280 | 4 | 14K |  on Nov 1, 2017

41 | 16,502 | 118 | 642 | 43 | 126K | Nov 3, 2017

42 | 21,612 | 2 | 90 | 31 |  | Nov 1, 2017

43 | 13,501 | 366 | 614 | 29 | 245K | Oct 31, 2017

44 |  No comments available  |
45 | 14,554 | 143 | 708 | 18 | 4.6M | Nov 1, 2017

46 | 11,727 | 78 | 256 | 11 | 51K | Oct 29, 2017

47 | 11,452 | 31 | 49 | 18 | 36K | Oct 29, 2017

48 | 11,244 | 210 | 557 | 17 | 59K | Oct 29, 2017

49 | 44,719 | 0 | 58 | 20 | 35K | Oct 29, 2017

50 |  No comments available  |
51 | 15,095 | 23 | 150 | 70 | 543K | Nov 3, 2017

