TECHNOLOGY TEST
2017-11-10 03:32:23
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 478,363 | 1,036 | 3K | 402 | 24K | Nov 2, 2017

2 | 312,686 | 955 | 4K | 1K | 45K | Nov 2, 2017

3 | 141,928 | 199 | 3K | 382 | 374K | Nov 1, 2017

4 | 156,097 | 356 | 7K | 116 | 2.7M | Nov 4, 2017

5 | 169,034 | 61 | 762 | 110 |  | Nov 1, 2017

6 | 75,720 | 354 | 6K | 26 | 2M | Nov 3, 2017

7 | 67,371 | 930 | 1K | 24 | 446K | Nov 2, 2017

8 | 60,959 | 169 | 1K | 307 | 374K | Oct 28, 2017

9 | 66,141 | 65 | 751 | 37 | 41K | Oct 29, 2017

10 | 67,643 | 73 | 330 | 40 |  | Nov 1, 2017

11 | 41,297 | 1,092 | 1K | 111 | 59K | Oct 29, 2017

12 | 36,593 | 12 | 114 | 5 | 4 | Oct 31, 2017

13 | 38,244 | 165 | Hide chat | 1K |  |  on Oct 31, 2017

14 | 39,366 | 168 | 583 | 51 | 61K | Oct 29, 2017

15 | 37,531 | 56 | 651 | 33 | 354K | Oct 31, 2017

16 | 34,066 | 6 | 204 | 11 | 92K | Nov 1, 2017

17 | 42,721 | 114 | 628 | 94 | 79K | Nov 2, 2017

18 | 38,173 | 633 | 1K | 57 | 106K | Nov 1, 2017

19 | 31,740 | 0 | 351 | 28 | 25K | Oct 30, 2017

20 | 34,732 | 2 | 125 | 20 |  | Oct 30, 2017

21 | 36,906 | 112 | 961 | 66 | 352K | Nov 1, 2017

22 | 30,702 | 39 | 162 | 23 | 33K | Nov 2, 2017

23 | 36,434 | 50 | 975 | 19 | 352K | Oct 31, 2017

24 | 24,561 | 25 | 193 | 32 | 25K | Oct 29, 2017

25 | 22,421 | 32 | 468 | 19 |  | Oct 29, 2017

26 |  No comments available  |
27 | 21,067 | 133 | 1K | 38 | 146K | Nov 1, 2017

28 | 21,376 | 115 | 964 | 111 | 374K | Nov 4, 2017

29 |  No comments available  |
30 | 41,390 | 41 | 179 | 16 | 56K | Nov 3, 2017

31 | 18,925 | 6 | 68 | 20 | 226K | Nov 1, 2017

32 | 32,172 | 33 | 121 | 47 | 138K | Nov 4, 2017

33 | 17,282 | 31 | 353 | 29 | 79K | Oct 30, 2017

34 | 23,549 | 4 | 77 | 13 |  | Nov 4, 2017

35 | 16,036 | 70 | 172 | 27 | 541K | Oct 30, 2017

36 | 16,045 | 464 | 740 | 30 | 59K | Oct 31, 2017

37 | 17,334 |  No comments available  |965 | 27 | 8.2K | Oct 29, 2017

38 | 14 watchi |  No comments available  |Hide chat | 340 |  | ming on Nov 3, 2017

39 | 16,078 | 0 | 462 | 22 | 25K | Oct 30, 2017

40 | 14,257 | 52 | Hide chat | 280 |  |  on Nov 1, 2017

41 | 15,868 | 117 | 633 | 43 | 126K | Nov 3, 2017

42 | 16,272 |  | 84 | 23 |  | Nov 1, 2017

43 | 12,997 | 363 | 609 | 29 | 244K | Oct 31, 2017

44 | 26,824 |  No comments available  |5 | 5 | 18K | Oct 29, 2017

45 | 13,824 | 140 | 694 | 18 | 4.6M | Nov 1, 2017

46 | 11,359 | 78 | 254 | 11 | 49K | Oct 29, 2017

47 | 11,203 | 30 | 48 | 18 | 36K | Oct 29, 2017

48 | 11,141 | 210 | 556 | 17 | 59K | Oct 29, 2017

49 | 24,604 | 0 | 42 | 14 | 35K | Oct 29, 2017

50 | 12,490 | 19 | 117 | 5 | 44K | Nov 1, 2017

51 | 14,096 | 20 | 149 | 69 | 541K | Nov 3, 2017

