TECHNOLOGY TEST
2017-11-17 02:52:19
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 702,729 | 1,286 | 5K | 552 | 28K | Nov 2, 2017

2 | 421,462 | 1,196 | 5K | 1K | 51K | Nov 2, 2017

3 | 152,862 | 204 | 3K | 394 | 404K | Nov 1, 2017

4 |  No comments available  |
5 | 207,036 | 68 | 914 | 125 |  | Nov 1, 2017

6 | 80,899 | 359 | 6K | 27 | 2M | Nov 3, 2017

7 | 72,686 | 934 | Shop Now | 1K |  | Nov 2, 2017

8 | 67,902 | 182 | 1K | 329 | 404K | Oct 28, 2017

9 | 110,308 | 76 | 932 | 61 | 42K | Oct 29, 2017

10 |  No comments available  |
11 | 41,936 | 1,093 | 1K | 113 | 62K | Oct 29, 2017

12 | 36,689 | 14 | 116 | 5 | 4 | Oct 31, 2017

13 | 38,991 | 163 | 1K | 39 | 690K |  on Oct 31, 2017

14 | 43,931 | 169 | 604 | 55 | 63K | Oct 29, 2017

15 | 40,987 | 59 | 704 | 34 | 365K | Oct 31, 2017

16 | 34,921 | 7 | 210 | 11 | 95K | Nov 1, 2017

17 | 58,747 | 120 | 723 | 108 | 81K | Nov 2, 2017

18 | 55,903 | 751 | 2K | 82 | 109K | Nov 1, 2017

19 | 32,363 | 0 | 351 | 28 | 25K | Oct 30, 2017

20 | 38,801 | 2 | 130 | 24 |  | Oct 30, 2017

21 | 42,946 | 124 | 1K | 71 | 360K | Nov 1, 2017

22 | 34,512 | 44 | 177 | 28 | 34K | Nov 2, 2017

23 | 48,000 | 58 | 1K | 23 | 360K | Oct 31, 2017

24 | 25,133 | 25 | 201 | 32 | 26K | Oct 29, 2017

25 | 23,762 | 32 | 485 | 20 |  | Oct 29, 2017

26 | 71,613 | 13 | 128 | 1 | 118K | Nov 1, 2017

27 | 21,674 | 136 | 1K | 38 | 155K | Nov 1, 2017

28 |  No comments available  |
29 | 35,920 | 4 | 82 | 48 |  | Oct 30, 2017

30 | 70,422 | 53 | 248 | 29 | 58K | Nov 3, 2017

31 | 19,554 | 6 | 68 | 21 | 234K | Nov 1, 2017

32 | 44,839 | 35 | 157 | 55 | 142K | Nov 4, 2017

33 | 18,395 | 33 | 365 | 29 | 81K | Oct 30, 2017

34 | 36,818 | 5 | 114 | 19 |  | Nov 4, 2017

35 | 16,305 | 70 | 171 | 27 | 544K | Oct 30, 2017

36 | 16,487 | 469 | 750 | 30 | 62K | Oct 31, 2017

37 | 21,910 |  No comments available  |1K | 37 | 8.9K | Oct 29, 2017

38 | 60,481 | 0 | 450 | 79 |  |  on Nov 3, 2017

39 | 17,066 | 0 | 473 | 23 | 25K | Oct 30, 2017

40 | 14,382 | 52 | 280 | 4 | 14K |  on Nov 1, 2017

41 | 16,861 | 120 | 649 | 43 | 127K | Nov 3, 2017

42 |  No comments available  |
43 |  No comments available  |
44 | 31,614 |  No comments available  |5 | 8 | 19K | Oct 29, 2017

45 | 14,844 | 143 | 718 | 19 | 4.6M | Nov 1, 2017

46 | 11,783 | 78 | 255 | 11 | 55K | Oct 29, 2017

47 | 11,543 | 31 | 49 | 18 | 36K | Oct 29, 2017

48 | 11,318 | 210 | 561 | 17 | 62K | Oct 29, 2017

49 | 46,758 | 0 | 58 | 21 | 35K | Oct 29, 2017

50 | 13,202 | 22 | 120 | 5 | 44K | Nov 1, 2017

51 | 15,269 | 23 | 151 | 70 | 544K | Nov 3, 2017

