TECHNOLOGY TEST
2017-11-09 03:21:36
No |   Views   |  Comments  |  Likes  | Dislikes | Subscribers |  Post Date  
1 | 445,098 | 993 | 3K | 378 | 23K | Nov 2, 2017

2 | 294,403 | 907 | 4K | 1K | 43K | Nov 2, 2017

3 | 139,797 | 199 | 3K | 381 | 370K | Nov 1, 2017

4 | 153,969 | 349 | 6K | 113 | 2.7M | Nov 4, 2017

5 | 161,310 | 60 | 735 | 105 |  | Nov 1, 2017

6 | 74,566 | 350 | 6K | 25 | 2M | Nov 3, 2017

7 | 66,437 | 929 | 1K | 24 | 445K | Nov 2, 2017

8 | 59,844 | 166 | 1K | 304 | 370K | Oct 28, 2017

9 | 61,175 | 62 | 714 | 33 | 41K | Oct 29, 2017

10 |  No comments available  |
11 | 41,160 | 1,091 | 1K | 111 | 58K | Oct 29, 2017

12 | 36,586 | 12 | 114 | 5 | 4 | Oct 31, 2017

13 | 37,741 |  No comments available  |Hide chat | 1K |  |  on Oct 31, 2017

14 | 38,634 | 168 | 579 | 51 | 61K | Oct 29, 2017

15 | 37,177 | 56 | 640 | 32 | 353K | Oct 31, 2017

16 | 33,943 | 6 | 202 | 11 | 92K | Nov 1, 2017

17 | 40,240 | 112 | 616 | 89 | 79K | Nov 2, 2017

18 | 36,506 | 628 | 1K | 55 | 106K | Nov 1, 2017

19 | 31,555 | 0 | 352 | 27 | 24K | Oct 30, 2017

20 | 34,393 | 2 | 125 | 20 |  | Oct 30, 2017

21 | 35,796 | 111 | 944 | 66 | 351K | Nov 1, 2017

22 | 29,871 | 38 | 159 | 23 | 33K | Nov 2, 2017

23 | 33,800 | 48 | 919 | 18 | 351K | Oct 31, 2017

24 | 24,341 | 24 | 193 | 32 | 24K | Oct 29, 2017

25 | 22,200 | 32 | 465 | 19 |  | Oct 29, 2017

26 | 39,725 | 13 | 125 | 1 | 117K | Nov 1, 2017

27 | 20,943 | 132 | 1K | 37 | 145K | Nov 1, 2017

28 | 21,065 | 115 | 957 | 111 | 371K | Nov 4, 2017

29 |  No comments available  |
30 |  No comments available  |
31 | 18,794 | 6 | 68 | 19 | 224K | Nov 1, 2017

32 | 29,421 | 33 | 114 | 46 | 137K | Nov 4, 2017

33 | 17,118 | 31 | 350 | 29 | 79K | Oct 30, 2017

34 | 21,631 | 4 | 70 | 10 |  | Nov 4, 2017

35 | 16,002 | 70 | 172 | 26 | 541K | Oct 30, 2017

36 | 15,953 | 464 | 737 | 29 | 58K | Oct 31, 2017

37 | 16,935 |  No comments available  |956 | 28 | 8.2K | Oct 29, 2017

38 | 14 watchi |  No comments available  |Hide chat | 304 |  | ming on Nov 3, 2017

39 | 15,893 | 0 | 460 | 22 | 25K | Oct 30, 2017

40 | 13,779 | 52 | Hide chat | 278 |  |  on Nov 1, 2017

41 | 15,545 | 117 | 627 | 41 | 126K | Nov 3, 2017

42 | 15,438 |  | 83 | 22 |  | Nov 1, 2017

43 | 12,811 | 363 | 608 | 29 | 244K | Oct 31, 2017

44 | 24,172 |  No comments available  |5 | 5 | 17K | Oct 29, 2017

45 | 13,626 | 138 | 692 | 18 | 4.6M | Nov 1, 2017

46 | 11,319 | 78 | 252 | 11 | 49K | Oct 29, 2017

47 | 11,128 | 30 | 48 | 18 | 36K | Oct 29, 2017

48 | 11,088 | 210 | 555 | 17 | 58K | Oct 29, 2017

49 | 23,597 | 0 | 41 | 14 | 35K | Oct 29, 2017

50 | 12,045 | 19 | 117 | 5 | 43K | Nov 1, 2017

51 | 13,579 | 20 | 147 | 69 | 541K | Nov 3, 2017

